completed,chosen_card,timestamp,alternatives,answer_card,page,button,correct,index,prompt,radio_button_chosen
12,"static/48/rc_vocab_48_7.png",1536868229,"[ ""static/30/rc_vocab_30_3.png"", ""static/72/rc_vocab_72_9.png"", ""static/48/rc_vocab_48_7.png"", ""static/53/rc_vocab_53_25.png"" ]","static/48/rc_vocab_48_7.png","Quiz","Submit",13,12,"static/48/rc_vocab_48_6.png",2
13,"None",1536868232,"[ ""static/48/rc_vocab_48_29.png"", ""static/28/rc_vocab_28_1.png"", ""static/9/rc_vocab_9_29.png"", ""static/12/rc_vocab_12_33.png"" ]","static/48/rc_vocab_48_29.png","Quiz","Next",13,13,"static/48/rc_vocab_48_28.png","None"
13,"static/48/rc_vocab_48_29.png",1536868244,"[ ""static/48/rc_vocab_48_29.png"", ""static/28/rc_vocab_28_1.png"", ""static/9/rc_vocab_9_29.png"", ""static/12/rc_vocab_12_33.png"" ]","static/48/rc_vocab_48_29.png","Quiz","Submit",14,13,"static/48/rc_vocab_48_28.png",0
14,"None",1536868246,"[ ""static/63/rc_vocab_63_37.png"", ""static/48/rc_vocab_48_11.png"", ""static/5/rc_vocab_5_3.png"", ""static/68/rc_vocab_68_11.png"" ]","static/48/rc_vocab_48_11.png","Quiz","Next",14,14,"static/48/rc_vocab_48_10.png","None"
14,"static/48/rc_vocab_48_11.png",1536868252,"[ ""static/63/rc_vocab_63_37.png"", ""static/48/rc_vocab_48_11.png"", ""static/5/rc_vocab_5_3.png"", ""static/68/rc_vocab_68_11.png"" ]","static/48/rc_vocab_48_11.png","Quiz","Submit",15,14,"static/48/rc_vocab_48_10.png",1
14,"static/48/rc_vocab_48_11.png",1536868252,"[ ""static/63/rc_vocab_63_37.png"", ""static/48/rc_vocab_48_11.png"", ""static/5/rc_vocab_5_3.png"", ""static/68/rc_vocab_68_11.png"" ]","static/48/rc_vocab_48_11.png","Quiz","Submit",15,14,"static/48/rc_vocab_48_10.png",1
15,"None",1536868254,"[ ""static/66/rc_vocab_66_41.png"", ""static/49/rc_vocab_49_3.png"", ""static/48/rc_vocab_48_31.png"", ""static/4/rc_vocab_4_23.png"" ]","static/48/rc_vocab_48_31.png","Quiz","Next",15,15,"static/48/rc_vocab_48_30.png","None"
15,"static/48/rc_vocab_48_31.png",1536868274,"[ ""static/66/rc_vocab_66_41.png"", ""static/49/rc_vocab_49_3.png"", ""static/48/rc_vocab_48_31.png"", ""static/4/rc_vocab_4_23.png"" ]","static/48/rc_vocab_48_31.png","Quiz","Submit",16,15,"static/48/rc_vocab_48_30.png",2
16,"None",1536868274,"[ ""static/48/rc_vocab_48_21.png"", ""static/46/rc_vocab_46_37.png"", ""static/11/rc_vocab_11_5.png"", ""static/17/rc_vocab_17_19.png"" ]","static/48/rc_vocab_48_21.png","Quiz","Next",16,16,"static/48/rc_vocab_48_20.png","None"
17,"static/48/rc_vocab_48_21.png",1536868278,"[ ""static/48/rc_vocab_48_21.png"", ""static/46/rc_vocab_46_37.png"", ""static/11/rc_vocab_11_5.png"", ""static/17/rc_vocab_17_19.png"" ]","static/48/rc_vocab_48_21.png","Quiz","Submit",17,16,"static/48/rc_vocab_48_20.png",0
17,"None",1536868281,"[ ""static/48/rc_vocab_48_21.png"", ""static/46/rc_vocab_46_37.png"", ""static/11/rc_vocab_11_5.png"", ""static/17/rc_vocab_17_19.png"" ]","static/48/rc_vocab_48_21.png","Quiz","Main Menu",17,16,"static/48/rc_vocab_48_20.png","None"
0,"static/58/rc_vocab_58_33.png",1537216420,"[ ""static/61/rc_vocab_61_55.png"", ""static/23/rc_vocab_23_43.png"", ""static/10/rc_vocab_10_13.png"", ""static/58/rc_vocab_58_33.png"" ]","static/58/rc_vocab_58_33.png","Quiz","Submit",1,0,"static/58/rc_vocab_58_32.png",3
1,"None",1537216422,"[ ""static/72/rc_vocab_72_69.png"", ""static/58/rc_vocab_58_31.png"", ""static/53/rc_vocab_53_9.png"", ""static/44/rc_vocab_44_43.png"" ]","static/58/rc_vocab_58_31.png","Quiz","Next",1,1,"static/58/rc_vocab_58_30.png","None"
1,"static/58/rc_vocab_58_31.png",1537216433,"[ ""static/72/rc_vocab_72_69.png"", ""static/58/rc_vocab_58_31.png"", ""static/53/rc_vocab_53_9.png"", ""static/44/rc_vocab_44_43.png"" ]","static/58/rc_vocab_58_31.png","Quiz","Submit",2,1,"static/58/rc_vocab_58_30.png",1
2,"None",1537216435,"[ ""static/31/rc_vocab_31_7.png"", ""static/58/rc_vocab_58_1.png"", ""static/32/rc_vocab_32_5.png"", ""static/10/rc_vocab_10_21.png"" ]","static/58/rc_vocab_58_1.png","Quiz","Next",2,2,"static/58/rc_vocab_58_0.png","None"
2,"static/58/rc_vocab_58_1.png",1537216439,"[ ""static/31/rc_vocab_31_7.png"", ""static/58/rc_vocab_58_1.png"", ""static/32/rc_vocab_32_5.png"", ""static/10/rc_vocab_10_21.png"" ]","static/58/rc_vocab_58_1.png","Quiz","Submit",3,2,"static/58/rc_vocab_58_0.png",1
3,"None",1537216439,"[ ""static/37/rc_vocab_37_61.png"", ""static/5/rc_vocab_5_41.png"", ""static/71/rc_vocab_71_7.png"", ""static/58/rc_vocab_58_21.png"" ]","static/58/rc_vocab_58_21.png","Quiz","Next",3,3,"static/58/rc_vocab_58_20.png","None"
3,"static/58/rc_vocab_58_21.png",1537216447,"[ ""static/37/rc_vocab_37_61.png"", ""static/5/rc_vocab_5_41.png"", ""static/71/rc_vocab_71_7.png"", ""static/58/rc_vocab_58_21.png"" ]","static/58/rc_vocab_58_21.png","Quiz","Submit",4,3,"static/58/rc_vocab_58_20.png",3
4,"None",1537216448,"[ ""static/67/rc_vocab_67_63.png"", ""static/58/rc_vocab_58_7.png"", ""static/18/rc_vocab_18_19.png"", ""static/64/rc_vocab_64_99.png"" ]","static/58/rc_vocab_58_7.png","Quiz","Next",4,4,"static/58/rc_vocab_58_6.png","None"
4,"static/58/rc_vocab_58_7.png",1537216455,"[ ""static/67/rc_vocab_67_63.png"", ""static/58/rc_vocab_58_7.png"", ""static/18/rc_vocab_18_19.png"", ""static/64/rc_vocab_64_99.png"" ]","static/58/rc_vocab_58_7.png","Quiz","Submit",5,4,"static/58/rc_vocab_58_6.png",1
5,"None",1537216456,"[ ""static/67/rc_vocab_67_87.png"", ""static/58/rc_vocab_58_55.png"", ""static/12/rc_vocab_12_39.png"", ""static/5/rc_vocab_5_9.png"" ]","static/58/rc_vocab_58_55.png","Quiz","Next",5,5,"static/58/rc_vocab_58_54.png","None"
5,"static/58/rc_vocab_58_55.png",1537216468,"[ ""static/67/rc_vocab_67_87.png"", ""static/58/rc_vocab_58_55.png"", ""static/12/rc_vocab_12_39.png"", ""static/5/rc_vocab_5_9.png"" ]","static/58/rc_vocab_58_55.png","Quiz","Submit",6,5,"static/58/rc_vocab_58_54.png",1
6,"None",1537216470,"[ ""static/58/rc_vocab_58_27.png"", ""static/42/rc_vocab_42_5.png"", ""static/66/rc_vocab_66_7.png"", ""static/70/rc_vocab_70_25.png"" ]","static/58/rc_vocab_58_27.png","Quiz","Next",6,6,"static/58/rc_vocab_58_26.png","None"
6,"static/58/rc_vocab_58_27.png",1537216481,"[ ""static/58/rc_vocab_58_27.png"", ""static/42/rc_vocab_42_5.png"", ""static/66/rc_vocab_66_7.png"", ""static/70/rc_vocab_70_25.png"" ]","static/58/rc_vocab_58_27.png","Quiz","Submit",7,6,"static/58/rc_vocab_58_26.png",0
7,"None",1537216484,"[ ""static/58/rc_vocab_58_39.png"", ""static/66/rc_vocab_66_15.png"", ""static/10/rc_vocab_10_15.png"", ""static/41/rc_vocab_41_7.png"" ]","static/58/rc_vocab_58_39.png","Quiz","Next",7,7,"static/58/rc_vocab_58_38.png","None"
7,"static/58/rc_vocab_58_39.png",1537216488,"[ ""static/58/rc_vocab_58_39.png"", ""static/66/rc_vocab_66_15.png"", ""static/10/rc_vocab_10_15.png"", ""static/41/rc_vocab_41_7.png"" ]","static/58/rc_vocab_58_39.png","Quiz","Submit",8,7,"static/58/rc_vocab_58_38.png",0
8,"None",1537216489,"[ ""static/58/rc_vocab_58_5.png"", ""static/36/rc_vocab_36_29.png"", ""static/17/rc_vocab_17_9.png"", ""static/38/rc_vocab_38_9.png"" ]","static/58/rc_vocab_58_5.png","Quiz","Next",8,8,"static/58/rc_vocab_58_4.png","None"
8,"static/58/rc_vocab_58_5.png",1537216494,"[ ""static/58/rc_vocab_58_5.png"", ""static/36/rc_vocab_36_29.png"", ""static/17/rc_vocab_17_9.png"", ""static/38/rc_vocab_38_9.png"" ]","static/58/rc_vocab_58_5.png","Quiz","Submit",9,8,"static/58/rc_vocab_58_4.png",0
9,"None",1537216495,"[ ""static/10/rc_vocab_10_21.png"", ""static/58/rc_vocab_58_57.png"", ""static/32/rc_vocab_32_23.png"", ""static/45/rc_vocab_45_11.png"" ]","static/58/rc_vocab_58_57.png","Quiz","Next",9,9,"static/58/rc_vocab_58_56.png","None"
9,"static/58/rc_vocab_58_57.png",1537216502,"[ ""static/10/rc_vocab_10_21.png"", ""static/58/rc_vocab_58_57.png"", ""static/32/rc_vocab_32_23.png"", ""static/45/rc_vocab_45_11.png"" ]","static/58/rc_vocab_58_57.png","Quiz","Submit",10,9,"static/58/rc_vocab_58_56.png",1
10,"None",1537216503,"[ ""static/39/rc_vocab_39_19.png"", ""static/9/rc_vocab_9_37.png"", ""static/32/rc_vocab_32_35.png"", ""static/58/rc_vocab_58_47.png"" ]","static/58/rc_vocab_58_47.png","Quiz","Next",10,10,"static/58/rc_vocab_58_46.png","None"
10,"static/58/rc_vocab_58_47.png",1537216514,"[ ""static/39/rc_vocab_39_19.png"", ""static/9/rc_vocab_9_37.png"", ""static/32/rc_vocab_32_35.png"", ""static/58/rc_vocab_58_47.png"" ]","static/58/rc_vocab_58_47.png","Quiz","Submit",11,10,"static/58/rc_vocab_58_46.png",3
11,"None",1537216516,"[ ""static/58/rc_vocab_58_41.png"", ""static/67/rc_vocab_67_83.png"", ""static/33/rc_vocab_33_21.png"", ""static/18/rc_vocab_18_29.png"" ]","static/58/rc_vocab_58_41.png","Quiz","Next",11,11,"static/58/rc_vocab_58_40.png","None"
11,"static/58/rc_vocab_58_41.png",1537216523,"[ ""static/58/rc_vocab_58_41.png"", ""static/67/rc_vocab_67_83.png"", ""static/33/rc_vocab_33_21.png"", ""static/18/rc_vocab_18_29.png"" ]","static/58/rc_vocab_58_41.png","Quiz","Submit",12,11,"static/58/rc_vocab_58_40.png",0
12,"None",1537216530,"[ ""static/58/rc_vocab_58_37.png"", ""static/67/rc_vocab_67_75.png"", ""static/40/rc_vocab_40_43.png"", ""static/14/rc_vocab_14_23.png"" ]","static/58/rc_vocab_58_37.png","Quiz","Next",12,12,"static/58/rc_vocab_58_36.png","None"
12,"static/58/rc_vocab_58_37.png",1537216541,"[ ""static/58/rc_vocab_58_37.png"", ""static/67/rc_vocab_67_75.png"", ""static/40/rc_vocab_40_43.png"", ""static/14/rc_vocab_14_23.png"" ]","static/58/rc_vocab_58_37.png","Quiz","Submit",13,12,"static/58/rc_vocab_58_36.png",0
13,"None",1537216542,"[ ""static/11/rc_vocab_11_27.png"", ""static/29/rc_vocab_29_1.png"", ""static/58/rc_vocab_58_45.png"", ""static/9/rc_vocab_9_67.png"" ]","static/58/rc_vocab_58_45.png","Quiz","Next",13,13,"static/58/rc_vocab_58_44.png","None"
13,"static/58/rc_vocab_58_45.png",1537216547,"[ ""static/11/rc_vocab_11_27.png"", ""static/29/rc_vocab_29_1.png"", ""static/58/rc_vocab_58_45.png"", ""static/9/rc_vocab_9_67.png"" ]","static/58/rc_vocab_58_45.png","Quiz","Submit",14,13,"static/58/rc_vocab_58_44.png",2
14,"None",1537216548,"[ ""static/58/rc_vocab_58_9.png"", ""static/44/rc_vocab_44_15.png"", ""static/63/rc_vocab_63_37.png"", ""static/74/rc_vocab_74_111.png"" ]","static/58/rc_vocab_58_9.png","Quiz","Next",14,14,"static/58/rc_vocab_58_8.png","None"
14,"static/58/rc_vocab_58_9.png",1537216551,"[ ""static/58/rc_vocab_58_9.png"", ""static/44/rc_vocab_44_15.png"", ""static/63/rc_vocab_63_37.png"", ""static/74/rc_vocab_74_111.png"" ]","static/58/rc_vocab_58_9.png","Quiz","Submit",15,14,"static/58/rc_vocab_58_8.png",0
15,"None",1537216552,"[ ""static/14/rc_vocab_14_33.png"", ""static/34/rc_vocab_34_27.png"", ""static/39/rc_vocab_39_27.png"", ""static/58/rc_vocab_58_49.png"" ]","static/58/rc_vocab_58_49.png","Quiz","Next",15,15,"static/58/rc_vocab_58_48.png","None"
15,"static/58/rc_vocab_58_49.png",1537216560,"[ ""static/14/rc_vocab_14_33.png"", ""static/34/rc_vocab_34_27.png"", ""static/39/rc_vocab_39_27.png"", ""static/58/rc_vocab_58_49.png"" ]","static/58/rc_vocab_58_49.png","Quiz","Submit",16,15,"static/58/rc_vocab_58_48.png",3
16,"None",1537216560,"[ ""static/52/rc_vocab_52_37.png"", ""static/34/rc_vocab_34_3.png"", ""static/55/rc_vocab_55_35.png"", ""static/58/rc_vocab_58_3.png"" ]","static/58/rc_vocab_58_3.png","Quiz","Next",16,16,"static/58/rc_vocab_58_2.png","None"
16,"static/58/rc_vocab_58_3.png",1537216569,"[ ""static/52/rc_vocab_52_37.png"", ""static/34/rc_vocab_34_3.png"", ""static/55/rc_vocab_55_35.png"", ""static/58/rc_vocab_58_3.png"" ]","static/58/rc_vocab_58_3.png","Quiz","Submit",17,16,"static/58/rc_vocab_58_2.png",3
17,"None",1537216570,"[ ""static/70/rc_vocab_70_63.png"", ""static/29/rc_vocab_29_11.png"", ""static/28/rc_vocab_28_23.png"", ""static/58/rc_vocab_58_51.png"" ]","static/58/rc_vocab_58_51.png","Quiz","Next",17,17,"static/58/rc_vocab_58_50.png","None"
17,"static/58/rc_vocab_58_51.png",1537216579,"[ ""static/70/rc_vocab_70_63.png"", ""static/29/rc_vocab_29_11.png"", ""static/28/rc_vocab_28_23.png"", ""static/58/rc_vocab_58_51.png"" ]","static/58/rc_vocab_58_51.png","Quiz","Submit",18,17,"static/58/rc_vocab_58_50.png",3
18,"None",1537216579,"[ ""static/63/rc_vocab_63_5.png"", ""static/5/rc_vocab_5_37.png"", ""static/58/rc_vocab_58_29.png"", ""static/30/rc_vocab_30_9.png"" ]","static/58/rc_vocab_58_29.png","Quiz","Next",18,18,"static/58/rc_vocab_58_28.png","None"
18,"static/58/rc_vocab_58_29.png",1537216585,"[ ""static/63/rc_vocab_63_5.png"", ""static/5/rc_vocab_5_37.png"", ""static/58/rc_vocab_58_29.png"", ""static/30/rc_vocab_30_9.png"" ]","static/58/rc_vocab_58_29.png","Quiz","Submit",19,18,"static/58/rc_vocab_58_28.png",2
19,"None",1537216586,"[ ""static/74/rc_vocab_74_55.png"", ""static/58/rc_vocab_58_13.png"", ""static/69/rc_vocab_69_45.png"", ""static/41/rc_vocab_41_43.png"" ]","static/58/rc_vocab_58_13.png","Quiz","Next",19,19,"static/58/rc_vocab_58_12.png","None"
19,"static/58/rc_vocab_58_13.png",1537216590,"[ ""static/74/rc_vocab_74_55.png"", ""static/58/rc_vocab_58_13.png"", ""static/69/rc_vocab_69_45.png"", ""static/41/rc_vocab_41_43.png"" ]","static/58/rc_vocab_58_13.png","Quiz","Submit",20,19,"static/58/rc_vocab_58_12.png",1
20,"None",1537216592,"[ ""static/55/rc_vocab_55_19.png"", ""static/4/rc_vocab_4_15.png"", ""static/58/rc_vocab_58_17.png"", ""static/73/rc_vocab_73_105.png"" ]","static/58/rc_vocab_58_17.png","Quiz","Next",20,20,"static/58/rc_vocab_58_16.png","None"
20,"static/58/rc_vocab_58_17.png",1537216597,"[ ""static/55/rc_vocab_55_19.png"", ""static/4/rc_vocab_4_15.png"", ""static/58/rc_vocab_58_17.png"", ""static/73/rc_vocab_73_105.png"" ]","static/58/rc_vocab_58_17.png","Quiz","Submit",21,20,"static/58/rc_vocab_58_16.png",2
21,"None",1537216598,"[ ""static/70/rc_vocab_70_45.png"", ""static/58/rc_vocab_58_53.png"", ""static/46/rc_vocab_46_25.png"", ""static/59/rc_vocab_59_29.png"" ]","static/58/rc_vocab_58_53.png","Quiz","Next",21,21,"static/58/rc_vocab_58_52.png","None"
21,"static/58/rc_vocab_58_53.png",1537216606,"[ ""static/70/rc_vocab_70_45.png"", ""static/58/rc_vocab_58_53.png"", ""static/46/rc_vocab_46_25.png"", ""static/59/rc_vocab_59_29.png"" ]","static/58/rc_vocab_58_53.png","Quiz","Submit",22,21,"static/58/rc_vocab_58_52.png",1
22,"None",1537216611,"[ ""static/17/rc_vocab_17_29.png"", ""static/48/rc_vocab_48_9.png"", ""static/32/rc_vocab_32_19.png"", ""static/58/rc_vocab_58_25.png"" ]","static/58/rc_vocab_58_25.png","Quiz","Next",22,22,"static/58/rc_vocab_58_24.png","None"
22,"static/58/rc_vocab_58_25.png",1537216615,"[ ""static/17/rc_vocab_17_29.png"", ""static/48/rc_vocab_48_9.png"", ""static/32/rc_vocab_32_19.png"", ""static/58/rc_vocab_58_25.png"" ]","static/58/rc_vocab_58_25.png","Quiz","Submit",23,22,"static/58/rc_vocab_58_24.png",3
23,"None",1537216616,"[ ""static/7/rc_vocab_7_9.png"", ""static/58/rc_vocab_58_19.png"", ""static/38/rc_vocab_38_23.png"", ""static/22/rc_vocab_22_9.png"" ]","static/58/rc_vocab_58_19.png","Quiz","Next",23,23,"static/58/rc_vocab_58_18.png","None"
23,"static/58/rc_vocab_58_19.png",1537216623,"[ ""static/7/rc_vocab_7_9.png"", ""static/58/rc_vocab_58_19.png"", ""static/38/rc_vocab_38_23.png"", ""static/22/rc_vocab_22_9.png"" ]","static/58/rc_vocab_58_19.png","Quiz","Submit",24,23,"static/58/rc_vocab_58_18.png",1
24,"None",1537216623,"[ ""static/58/rc_vocab_58_11.png"", ""static/61/rc_vocab_61_69.png"", ""static/71/rc_vocab_71_13.png"", ""static/71/rc_vocab_71_93.png"" ]","static/58/rc_vocab_58_11.png","Quiz","Next",24,24,"static/58/rc_vocab_58_10.png","None"
24,"static/58/rc_vocab_58_11.png",1537216632,"[ ""static/58/rc_vocab_58_11.png"", ""static/61/rc_vocab_61_69.png"", ""static/71/rc_vocab_71_13.png"", ""static/71/rc_vocab_71_93.png"" ]","static/58/rc_vocab_58_11.png","Quiz","Submit",25,24,"static/58/rc_vocab_58_10.png",0
25,"None",1537216633,"[ ""static/9/rc_vocab_9_45.png"", ""static/42/rc_vocab_42_15.png"", ""static/50/rc_vocab_50_47.png"", ""static/58/rc_vocab_58_15.png"" ]","static/58/rc_vocab_58_15.png","Quiz","Next",25,25,"static/58/rc_vocab_58_14.png","None"
25,"static/58/rc_vocab_58_15.png",1537216651,"[ ""static/9/rc_vocab_9_45.png"", ""static/42/rc_vocab_42_15.png"", ""static/50/rc_vocab_50_47.png"", ""static/58/rc_vocab_58_15.png"" ]","static/58/rc_vocab_58_15.png","Quiz","Submit",26,25,"static/58/rc_vocab_58_14.png",3
26,"None",1537216655,"[ ""static/17/rc_vocab_17_9.png"", ""static/57/rc_vocab_57_25.png"", ""static/52/rc_vocab_52_25.png"", ""static/58/rc_vocab_58_23.png"" ]","static/58/rc_vocab_58_23.png","Quiz","Next",26,26,"static/58/rc_vocab_58_22.png","None"
26,"static/58/rc_vocab_58_23.png",1537216663,"[ ""static/17/rc_vocab_17_9.png"", ""static/57/rc_vocab_57_25.png"", ""static/52/rc_vocab_52_25.png"", ""static/58/rc_vocab_58_23.png"" ]","static/58/rc_vocab_58_23.png","Quiz","Submit",27,26,"static/58/rc_vocab_58_22.png",3
27,"None",1537216665,"[ ""static/69/rc_vocab_69_13.png"", ""static/49/rc_vocab_49_49.png"", ""static/36/rc_vocab_36_15.png"", ""static/58/rc_vocab_58_59.png"" ]","static/58/rc_vocab_58_59.png","Quiz","Next",27,27,"static/58/rc_vocab_58_58.png","None"
27,"static/58/rc_vocab_58_59.png",1537216677,"[ ""static/69/rc_vocab_69_13.png"", ""static/49/rc_vocab_49_49.png"", ""static/36/rc_vocab_36_15.png"", ""static/58/rc_vocab_58_59.png"" ]","static/58/rc_vocab_58_59.png","Quiz","Submit",28,27,"static/58/rc_vocab_58_58.png",3
28,"None",1537216681,"[ ""static/7/rc_vocab_7_1.png"", ""static/55/rc_vocab_55_27.png"", ""static/40/rc_vocab_40_47.png"", ""static/58/rc_vocab_58_43.png"" ]","static/58/rc_vocab_58_43.png","Quiz","Next",28,28,"static/58/rc_vocab_58_42.png","None"
28,"static/58/rc_vocab_58_43.png",1537216693,"[ ""static/7/rc_vocab_7_1.png"", ""static/55/rc_vocab_55_27.png"", ""static/40/rc_vocab_40_47.png"", ""static/58/rc_vocab_58_43.png"" ]","static/58/rc_vocab_58_43.png","Quiz","Submit",29,28,"static/58/rc_vocab_58_42.png",3
29,"None",1537216694,"[ ""static/58/rc_vocab_58_35.png"", ""static/42/rc_vocab_42_35.png"", ""static/62/rc_vocab_62_3.png"", ""static/69/rc_vocab_69_9.png"" ]","static/58/rc_vocab_58_35.png","Quiz","Next",29,29,"static/58/rc_vocab_58_34.png","None"
30,"static/58/rc_vocab_58_35.png",1537216708,"[ ""static/58/rc_vocab_58_35.png"", ""static/42/rc_vocab_42_35.png"", ""static/62/rc_vocab_62_3.png"", ""static/69/rc_vocab_69_9.png"" ]","static/58/rc_vocab_58_35.png","Quiz","Submit",30,29,"static/58/rc_vocab_58_34.png",0
30,"None",1537216714,"[ ""static/58/rc_vocab_58_35.png"", ""static/42/rc_vocab_42_35.png"", ""static/62/rc_vocab_62_3.png"", ""static/69/rc_vocab_69_9.png"" ]","static/58/rc_vocab_58_35.png","Quiz","Main Menu",30,29,"static/58/rc_vocab_58_34.png","None"
0,"static/59/rc_vocab_59_71.png",1537568918,"[ ""static/38/rc_vocab_38_3.png"", ""static/43/rc_vocab_43_1.png"", ""static/17/rc_vocab_17_27.png"", ""static/59/rc_vocab_59_71.png"" ]","static/59/rc_vocab_59_71.png","Quiz","Submit",1,0,"static/59/rc_vocab_59_70.png",3
1,"None",1537568919,"[ ""static/11/rc_vocab_11_19.png"", ""static/14/rc_vocab_14_31.png"", ""static/59/rc_vocab_59_29.png"", ""static/49/rc_vocab_49_29.png"" ]","static/59/rc_vocab_59_29.png","Quiz","Next",1,1,"static/59/rc_vocab_59_28.png","None"
1,"static/59/rc_vocab_59_29.png",1537568926,"[ ""static/11/rc_vocab_11_19.png"", ""static/14/rc_vocab_14_31.png"", ""static/59/rc_vocab_59_29.png"", ""static/49/rc_vocab_49_29.png"" ]","static/59/rc_vocab_59_29.png","Quiz","Submit",2,1,"static/59/rc_vocab_59_28.png",2
2,"None",1537568927,"[ ""static/36/rc_vocab_36_53.png"", ""static/4/rc_vocab_4_39.png"", ""static/69/rc_vocab_69_9.png"", ""static/59/rc_vocab_59_11.png"" ]","static/59/rc_vocab_59_11.png","Quiz","Next",2,2,"static/59/rc_vocab_59_10.png","None"
2,"static/59/rc_vocab_59_11.png",1537568933,"[ ""static/36/rc_vocab_36_53.png"", ""static/4/rc_vocab_4_39.png"", ""static/69/rc_vocab_69_9.png"", ""static/59/rc_vocab_59_11.png"" ]","static/59/rc_vocab_59_11.png","Quiz","Submit",3,2,"static/59/rc_vocab_59_10.png",3
3,"None",1537568934,"[ ""static/59/rc_vocab_59_35.png"", ""static/16/rc_vocab_16_13.png"", ""static/65/rc_vocab_65_79.png"", ""static/41/rc_vocab_41_15.png"" ]","static/59/rc_vocab_59_35.png","Quiz","Next",3,3,"static/59/rc_vocab_59_34.png","None"
3,"static/59/rc_vocab_59_35.png",1537568938,"[ ""static/59/rc_vocab_59_35.png"", ""static/16/rc_vocab_16_13.png"", ""static/65/rc_vocab_65_79.png"", ""static/41/rc_vocab_41_15.png"" ]","static/59/rc_vocab_59_35.png","Quiz","Submit",4,3,"static/59/rc_vocab_59_34.png",0
4,"None",1537568939,"[ ""static/34/rc_vocab_34_13.png"", ""static/59/rc_vocab_59_61.png"", ""static/66/rc_vocab_66_51.png"", ""static/62/rc_vocab_62_45.png"" ]","static/59/rc_vocab_59_61.png","Quiz","Next",4,4,"static/59/rc_vocab_59_60.png","None"
4,"static/59/rc_vocab_59_61.png",1537568949,"[ ""static/34/rc_vocab_34_13.png"", ""static/59/rc_vocab_59_61.png"", ""static/66/rc_vocab_66_51.png"", ""static/62/rc_vocab_62_45.png"" ]","static/59/rc_vocab_59_61.png","Quiz","Submit",5,4,"static/59/rc_vocab_59_60.png",1
5,"None",1537568952,"[ ""static/36/rc_vocab_36_27.png"", ""static/59/rc_vocab_59_45.png"", ""static/48/rc_vocab_48_11.png"", ""static/48/rc_vocab_48_15.png"" ]","static/59/rc_vocab_59_45.png","Quiz","Next",5,5,"static/59/rc_vocab_59_44.png","None"
5,"static/59/rc_vocab_59_45.png",1537568957,"[ ""static/36/rc_vocab_36_27.png"", ""static/59/rc_vocab_59_45.png"", ""static/48/rc_vocab_48_11.png"", ""static/48/rc_vocab_48_15.png"" ]","static/59/rc_vocab_59_45.png","Quiz","Submit",6,5,"static/59/rc_vocab_59_44.png",1
6,"None",1537568958,"[ ""static/27/rc_vocab_27_23.png"", ""static/45/rc_vocab_45_33.png"", ""static/14/rc_vocab_14_43.png"", ""static/59/rc_vocab_59_21.png"" ]","static/59/rc_vocab_59_21.png","Quiz","Next",6,6,"static/59/rc_vocab_59_20.png","None"
6,"static/59/rc_vocab_59_21.png",1537568977,"[ ""static/27/rc_vocab_27_23.png"", ""static/45/rc_vocab_45_33.png"", ""static/14/rc_vocab_14_43.png"", ""static/59/rc_vocab_59_21.png"" ]","static/59/rc_vocab_59_21.png","Quiz","Submit",7,6,"static/59/rc_vocab_59_20.png",3
7,"None",1537568978,"[ ""static/64/rc_vocab_64_21.png"", ""static/59/rc_vocab_59_39.png"", ""static/39/rc_vocab_39_27.png"", ""static/27/rc_vocab_27_31.png"" ]","static/59/rc_vocab_59_39.png","Quiz","Next",7,7,"static/59/rc_vocab_59_38.png","None"
7,"static/59/rc_vocab_59_39.png",1537568983,"[ ""static/64/rc_vocab_64_21.png"", ""static/59/rc_vocab_59_39.png"", ""static/39/rc_vocab_39_27.png"", ""static/27/rc_vocab_27_31.png"" ]","static/59/rc_vocab_59_39.png","Quiz","Submit",8,7,"static/59/rc_vocab_59_38.png",1
8,"None",1537568983,"[ ""static/66/rc_vocab_66_19.png"", ""static/64/rc_vocab_64_73.png"", ""static/53/rc_vocab_53_9.png"", ""static/59/rc_vocab_59_93.png"" ]","static/59/rc_vocab_59_93.png","Quiz","Next",8,8,"static/59/rc_vocab_59_92.png","None"
8,"static/59/rc_vocab_59_93.png",1537568994,"[ ""static/66/rc_vocab_66_19.png"", ""static/64/rc_vocab_64_73.png"", ""static/53/rc_vocab_53_9.png"", ""static/59/rc_vocab_59_93.png"" ]","static/59/rc_vocab_59_93.png","Quiz","Submit",9,8,"static/59/rc_vocab_59_92.png",3
9,"None",1537568998,"[ ""static/22/rc_vocab_22_21.png"", ""static/49/rc_vocab_49_53.png"", ""static/59/rc_vocab_59_87.png"", ""static/30/rc_vocab_30_23.png"" ]","static/59/rc_vocab_59_87.png","Quiz","Next",9,9,"static/59/rc_vocab_59_86.png","None"
9,"static/59/rc_vocab_59_87.png",1537569009,"[ ""static/22/rc_vocab_22_21.png"", ""static/49/rc_vocab_49_53.png"", ""static/59/rc_vocab_59_87.png"", ""static/30/rc_vocab_30_23.png"" ]","static/59/rc_vocab_59_87.png","Quiz","Submit",10,9,"static/59/rc_vocab_59_86.png",2
